"","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119"
"1",-0.36,-0.42,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.24,-0.22,-0.1,0.22,0.61
"2",1.04,0.19,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.59,-0.31,-0.25,0.11,0.44
"5",-0.3,-0.45,0.75,0.37,0.27,-0.28,-0.16,-0.13,-0.56,-0.28,0.11,0.3,0.22,0.08,0.07,-0.02,0.11,-0.1
"8",-0.46,0.12,-0.06,-0.76,-0.7,-0.79,-0.2,-0.06,0.82,0.36,0.68,-0.13,0.2,-0.32,0.04,0.57,0.17,0.53
"9",-1.35,-0.86,-0.22,-0.38,-0.65,-0.79,0.02,0.6,1.38,1.59,1.03,0.99,0.11,-0.39,-0.86,-0.41,-0.2,0.41
"10",-2.06,-1.98,-1.64,-0.21,1.21,0.69,0.85,0.43,-0.32,-0.77,-1.1,-0.02,0.88,1.3,1.29,1.29,0.16,0
"11",-1.61,-2.55,-1.09,-0.55,0.98,1.14,0.9,0.43,-0.41,-0.38,-1.18,-0.16,0.77,1.27,1.17,1.3,0.05,-0.09
"14",-0.07,-0.46,0.41,0.16,0.58,-0.07,0.45,0.04,0.07,-0.07,-0.08,-0.28,-0.09,-0.08,0.16,-0.35,0.02,-0.35
"16",0.11,-0.54,-0.45,-0.23,-0.14,0.39,0.15,0.15,0.02,0.17,-0.38,-0.14,-0.06,0.17,0.11,0.07,0.37,0.23
"17",0.15,-0.07,-0.09,0,0.02,-0.46,-0.11,-0.14,-0.02,0.03,-0.03,0.41,0.13,0.11,0.1,0.03,-0.12,0.05
"18",-0.43,0.15,0.3,0.05,0.07,-0.02,0.33,0.26,-0.41,0,-0.4,0.03,0.05,0.2,-0.16,0.37,-0.31,-0.08
"19",-0.23,0.09,0.41,-0.11,-0.03,-0.48,-0.3,-0.25,-0.01,-0.17,0.37,-0.09,-0.2,-0.18,0.21,1.01,-0.06,0.01
"20",-0.56,-0.54,0.15,-0.56,0.05,-0.07,0.31,0.15,0.4,0.02,0.11,0.49,-0.28,-0.43,0.21,0.4,-0.01,0.17
"21",-0.27,-0.66,0.3,0.19,0.24,0.24,0.03,0,-0.21,0,0.14,-0.01,-0.12,-0.16,0.07,0.01,0.04,-0.02
"22",-0.66,-0.47,0.68,0.72,-0.12,-0.64,-0.51,-0.44,-0.34,0.56,0.37,0.94,0.19,0.04,-0.47,0.22,-0.38,0.32
"23",-0.87,-0.36,0.51,1.09,-0.21,0.33,-0.97,-0.31,-0.47,0.1,0.43,1.25,-0.1,-0.1,-0.18,0.07,-0.45,0.23
"24",-0.61,-0.35,0.25,0.86,-0.21,-0.47,-0.49,-0.44,-0.35,0.7,0.25,0.85,0.19,0.01,-0.37,0.37,-0.37,0.17
"25",-0.09,-0.25,0.05,0.09,0.52,0.13,-0.08,-0.39,-0.11,-0.29,0.11,-0.01,-0.11,-0.06,0.4,0.58,-0.29,-0.22
"27",-2.36,-2.71,-1.46,-0.16,1.51,1.65,0.68,0.41,-0.31,-0.33,-0.74,-0.01,0.97,1.01,1.36,0.67,0.08,-0.26
"28",-1.81,-1.94,-1.33,0.01,1.51,0.91,0.69,0.11,-0.4,-0.78,-1.12,-0.09,0.96,1.32,1.24,0.57,0.35,-0.2
"32",1.57,1.03,1.22,0.31,0.16,-0.49,-1.02,-1.08,-0.8,-0.18,0.1,0.27,0.39,-0.05,-0.42,0.16,-1.08,-0.08
"33",-0.06,-0.63,-0.63,-0.77,-0.49,-0.11,0.11,0.18,0.2,0.15,0.44,0.5,0.03,-0.03,0.04,0.52,-0.06,0.62
"34",-0.91,-0.33,0.41,0.67,0.42,0.13,-0.06,-0.1,-0.84,0.19,-0.18,0.5,0.53,0.22,-0.35,0.16,-0.42,-0.03
"35",-0.81,0.02,1.08,0.74,-0.1,-0.23,-0.64,-0.64,-1.21,0.24,1.27,1.13,0.49,-0.06,-0.39,-0.1,-1,0.22
"36",-0.48,1.79,0.38,0.06,-0.11,-0.16,-0.14,-0.16,-0.63,-0.54,-0.02,0.38,0.13,-0.29,0.08,0.19,-0.46,-0.02
"40",-1.15,-0.86,1.21,1.62,1.12,0.16,-0.44,-0.93,-1.23,-0.62,0.62,1.3,1.08,0.27,0.04,-0.51,-0.8,-0.89
"42",-0.11,-0.33,-0.43,-0.74,-0.88,-1.2,-0.18,0.3,1.64,0.89,0.9,0.27,0.05,-0.29,-1.09,0.32,0.41,0.47
"45",-0.25,0.07,0.44,-1.25,0.07,-0.21,0.01,-0.02,0.01,0.26,0.06,0.13,-0.05,0.26,-0.07,0.22,0.07,0.23
"46",-0.08,-0.73,-0.32,-0.42,0.08,0.08,-0.05,0.59,-0.17,-0.2,-0.02,0.08,0.08,0.22,0.38,0.35,0.19,-0.06
"50",1.71,1.62,-1.29,-0.85,-1.48,-0.89,-1.77,0,-2.13,0.23,1.03,1.31,1.15,0.31,0.38,0.37,0.29,0.02
"51",-0.46,0,0.42,0.28,0.51,0.03,0.17,-0.18,-0.58,-0.23,-0.12,0.27,0.2,-0.05,0.29,0.28,-0.53,-0.27
"54",0.04,0.03,0.65,-0.02,0.11,-0.28,-0.22,-0.06,-0.2,0.06,-0.04,0.31,-0.01,-0.15,-0.15,-0.01,-0.2,0.14
"55",-0.07,-0.55,-0.43,-0.45,0.02,0.21,0.41,0.41,0.17,-0.41,-0.35,-0.18,0.14,0.01,0.04,0.38,0.31,0.33
"56",-0.92,-1.32,-0.49,-0.19,0.48,0.13,0.79,-0.01,0.3,0.35,-0.17,0.2,0.23,-0.13,0.31,0.2,0.08,0.13
"58",0.19,0.21,0.1,0.13,-0.01,-0.35,0.02,-0.21,0.01,0.18,-0.08,0.12,0.16,-0.15,-0.27,-0.04,-0.19,0.18
"64",-0.41,0.2,1.31,0.92,0.26,-0.36,-0.26,-0.94,-0.7,0.06,0.61,0.74,0.56,-0.28,-0.6,-0.28,-0.41,-0.43
"65",-0.29,0.12,0.12,-0.35,0.3,-0.21,0.08,-0.07,-0.19,-0.02,0.2,-0.01,0.08,0.12,0.12,-0.01,0.09,-0.11
"66",2.47,0.3,-0.43,-0.12,-0.55,-0.19,-0.51,-0.22,-1.06,-0.11,0.42,0.23,0.08,-0.12,-0.59,0.54,-0.22,0.08
"67",0.13,0.24,0.32,-0.36,-0.12,-0.51,0.49,0.01,0.26,0.16,-0.23,-0.28,0.01,-0.26,0.08,-0.05,0.2,-0.09
"68",-0.14,1.34,1.69,1.07,0.47,-0.35,-0.38,-0.96,-0.68,-0.27,-0.12,0.07,0.16,-0.72,-0.24,-0.31,-0.16,-0.46
"69",-0.02,1.07,1.3,0.83,0.35,-0.46,-0.13,-0.91,-0.52,-0.15,-0.03,0.03,0.13,-0.44,-0.17,-0.24,-0.3,-0.35
"70",0.11,-0.32,0.21,-0.14,0.22,0.03,0.37,-0.01,0.13,-0.28,0.14,-0.01,-0.12,-0.09,0.16,0.06,-0.06,-0.4
"72",-0.69,-0.29,0.57,1.14,0.13,0.07,-0.31,0.17,-0.88,-0.42,0.13,0.33,0.27,-0.06,-0.18,0.58,-0.15,-0.44
"73",-0.75,-0.84,-0.15,-0.1,0.13,0.15,0.37,0.45,0.27,-0.03,0.08,-0.24,-0.1,-0.02,0.25,0.27,0.29,-0.03
"78",-0.26,-0.86,-0.33,-0.56,-0.23,-0.61,0.43,0.36,0.88,0.34,0.55,-0.37,-0.23,-0.53,0.17,-0.05,1.04,0.27
"82",-1.18,-0.2,0.57,0.69,0.21,0.1,-0.66,-0.44,-0.4,-0.57,0.21,0.81,0.69,0.41,0.13,0.31,-0.36,-0.34
"83",-0.01,0.12,0.27,0.04,0.07,0.23,0.09,0.34,0.18,-0.32,-0.32,-0.29,-0.32,-0.2,-0.1,0.32,-0.11,-0.01
"84",-1.22,-0.74,1.34,1.5,0.63,0.29,-0.55,-0.65,-0.76,-0.88,0.69,1.25,0.62,-0.01,-0.36,-0.04,-0.55,-0.55
"85",-0.58,-0.06,0.67,0.92,0.09,0.41,-0.3,-0.21,-0.45,-0.11,0.21,0.24,0.14,-0.03,-0.24,-0.09,-0.33,-0.26
"88",2.38,1.45,0.69,-0.26,-0.37,-0.29,0.09,0.03,-0.05,-0.51,-0.47,-0.89,-0.19,-0.08,-0.7,-0.56,-0.22,-0.03
"89",1.81,1.03,0.48,-0.4,-0.04,-0.3,0.05,0.29,0.14,-0.42,-0.01,-1,-0.08,-0.24,-0.17,-0.36,-0.32,-0.48
"90",1.19,0.21,0.12,-0.06,0.17,-0.18,-0.06,-0.29,-0.23,0.35,-0.13,0.05,-0.2,-0.43,-0.31,-0.1,0.01,-0.13
"94",-0.29,-0.66,-0.09,0.07,0.57,0.3,0.53,-0.18,-0.07,-0.37,-0.23,0.16,0.3,0.23,0.24,0.14,-0.35,-0.31
"99",-0.64,-0.03,0.15,0.32,0.02,0.09,-0.36,-0.09,0.37,-0.4,0.42,0.21,0.37,-0.25,-0.19,0.09,-0.01,-0.09
"100",-0.35,1.09,-0.31,-0.57,-0.33,-0.54,-0.29,-0.45,-0.23,0.95,1.31,0.73,0.31,-0.25,-0.31,-0.37,-0.52,0.11
"102",-0.7,-0.13,0.19,-0.13,-0.1,-0.34,0.3,-0.13,0.3,0.34,0.58,0.3,0.42,-0.28,-0.16,-0.47,-0.05,0.05
"103",-0.17,0.42,0.37,-0.18,-0.09,-0.43,0.07,-0.09,0.08,0.14,0.42,0.07,-0.17,-0.39,0.04,0.04,-0.12,-0.03
"108",0.22,0.06,0.68,0.55,0.28,-0.37,0.1,-0.57,-0.22,0.04,-0.1,-0.04,-0.01,-0.16,-0.32,-0.22,-0.19,0.1
"109",-0.99,-0.24,-0.74,-0.44,-0.67,-0.01,-0.95,-0.39,-0.44,1.14,1.99,0.87,0.36,0.28,-0.07,0.16,-0.05,0.2
"110",-0.36,0.02,0.64,-0.03,0.02,0.13,-0.08,-0.12,0.02,0.3,-0.05,0.18,-0.24,-0.32,-0.09,-0.03,0.15,-0.15
"111",-0.86,-0.29,0.42,0.46,0.3,0.1,-0.63,-0.09,-0.31,-0.45,0.64,0.39,0.12,0.14,0.02,0.44,-0.23,-0.15
"112",-0.28,-0.05,0.03,0.41,0.21,0.01,0.23,0.09,-0.49,0.06,-0.2,0.05,0.1,-0.1,0.02,-0.01,0.12,-0.16
"113",-0.16,-0.05,0.17,-0.28,-0.02,-0.55,-0.04,0,0.4,-0.2,0.38,0.17,0.21,0.14,0.1,0.01,-0.43,0.1
"115",-0.48,-0.22,-0.07,-0.24,-0.13,0.17,0.63,0.23,0.23,0.05,-0.13,-0.2,-0.28,-0.06,0.13,0.36,-0.1,0.12
"117",-1.49,-0.05,-1.27,-1.96,-1.49,-1.85,0.07,0.53,1.61,1.59,1.58,0.85,0.75,-0.23,-0.17,-0.23,0.57,1.16
"119",-0.14,0.15,-0.59,-1.46,-0.5,-1.38,-0.46,-1.17,-0.72,1.56,2.23,1.38,1.12,0.15,0.15,-0.14,-0.68,0.52
"120",-0.02,0.06,0.38,0.33,0.01,-0.4,-0.64,-0.05,0.5,0.02,0.81,0.08,-0.13,-0.46,-0.33,0.04,-0.28,0.07
"121",2.17,0.13,0.5,0.28,0.11,-0.32,-0.18,-0.47,-0.14,-0.23,0.19,0.18,-0.15,-0.52,-0.38,-0.49,-0.13,-0.54
"126",0.03,-0.31,-0.14,0.44,0.47,-0.07,0.05,-0.49,-0.05,-0.31,0.08,0.11,0.19,0.05,0.1,-0.05,0.08,-0.19
"127",-1.29,-0.7,-0.33,-0.88,-0.19,0.05,0.02,0.68,0.75,0.64,0.42,-0.07,-0.79,-0.16,-0.19,0.73,0.64,0.51
"129",-0.44,-0.76,-0.7,-0.65,-0.14,-0.1,0.44,0.22,0.42,0.15,0.13,0.06,0.11,0.15,0.21,0.3,0.41,0.18
"130",0.08,-0.05,-0.11,-0.01,0,0.02,0.21,0.14,-0.01,0.02,-0.16,-0.08,0.23,-0.2,-0.08,-0.25,0.36,-0.11
"131",-0.07,-0.28,-0.22,-0.02,-0.34,-0.13,-0.41,-0.13,0.36,0.49,0.56,0.05,0.01,-0.2,-0.14,0.14,-0.02,0.35
"132",-0.01,-0.05,0.24,-0.07,-0.45,-0.43,-0.56,-0.14,0.63,0.19,0.56,0.05,0.17,-0.14,-0.19,0.16,-0.14,0.13
"133",-1.51,-1.57,-1.35,0.04,1.3,1.15,0.94,-0.08,-0.13,-0.72,-0.75,-0.26,0.98,0.94,1.09,0.31,0.07,-0.43
"134",-1.46,-2.3,-1.41,-0.27,1.4,1.18,1.11,0.08,-0.18,-0.82,-0.9,-0.46,0.98,1.15,1.47,0.58,0.18,-0.35
"135",0,-0.05,0.03,-0.01,0.03,0.01,0.07,0,0.05,0,0.02,-0.01,0.05,-0.16,-0.02,0.01,-0.01,-0.02
"137",0.02,-0.05,-0.05,-0.31,-0.01,-0.29,0.57,0,0.43,0.16,0.09,-0.25,0.12,-0.45,0.18,-0.23,0.2,-0.13
"139",-0.45,-0.87,-0.08,0.1,0.46,0.61,0.33,-0.16,-0.11,-0.51,0.38,0.24,0.53,0.05,0.3,-0.22,-0.08,-0.53
"140",-0.16,-0.55,0.03,-0.01,0.03,0.35,0.47,0.71,-0.06,-0.33,-0.44,-0.26,0.2,-0.24,0.21,-0.11,0.51,-0.29
"142",0.6,-0.55,0.41,0.45,0.18,-0.66,-1.02,-0.98,-0.4,-0.23,1.59,0.67,0.72,-0.23,0.6,-0.09,-0.71,-0.34
"143",-0.05,0.02,-0.17,0.26,-0.35,0.23,-0.37,0.06,0.27,-0.18,0.32,-0.06,0.15,-0.08,-0.17,0.19,-0.15,0.09
"144",0.11,0.59,0.63,0.34,0.28,-0.44,-0.08,-0.71,-0.34,0.25,0.08,-0.04,0.41,-0.12,-0.21,-0.4,-0.18,-0.18
"145",0.08,-0.53,-0.29,-0.24,-0.09,0.08,0.33,0.15,0.2,0.38,-0.1,-0.37,-0.19,-0.09,0.08,0.22,0.18,0.19
"146",0.12,-0.26,0.05,-0.01,0.03,-0.12,0.14,-0.43,-0.14,-0.19,0.04,0.11,0.53,0.01,0.45,-0.01,-0.01,-0.28
"150",-0.67,-0.15,-0.08,0.11,-0.12,0.27,-0.43,0.16,0.2,0.33,0.33,0.1,0.03,-0.17,0,0.32,-0.08,-0.17
"151",-0.33,-0.12,0.23,0.9,0.75,0.49,0.27,-0.55,-0.39,-0.29,-0.27,0.07,0.42,-0.13,0.02,-0.4,-0.24,-0.44
"153",-0.27,-0.08,-0.03,0.37,0.26,0.14,-0.03,0.08,-0.27,-0.09,-0.06,0.24,0.32,-0.2,-0.09,-0.23,0.26,-0.31
"154",-0.01,-0.05,-0.25,-0.08,-0.23,0.09,0.15,-0.01,-0.08,0.04,-0.25,0.06,0.17,-0.09,0.21,0.09,0.23,-0.08
"155",-1.15,-0.45,0.23,-0.01,-0.31,0.6,0.5,0.37,0.05,-0.71,-0.21,-0.19,-0.05,0.1,0.56,0.91,-0.02,-0.27
"157",-0.85,-0.43,0.27,0.08,0.44,-0.1,-0.43,-0.05,0.25,0.27,0.02,0.99,0.86,0.33,0.2,0.06,-0.93,-0.96
"158",-0.32,-0.56,0.03,0.25,0.03,0.01,0.4,0.07,-0.13,-0.05,-0.23,0.13,0.37,-0.03,0.23,-0.08,0.07,-0.11
"159",-0.02,-0.08,0.34,-0.25,0.03,0.16,0.18,-0.1,0.24,-0.23,1.1,-0.13,-0.11,-0.54,-0.21,-0.19,0.01,-0.18
"162",-1.76,-0.34,0.18,1.07,0.37,0.32,-0.5,-0.25,-0.48,-0.25,0.79,0.97,0.53,0.13,0.07,0.14,-0.56,-0.41
"164",-0.59,-0.12,0.8,0.88,0.22,-0.56,-0.5,-0.48,0.32,-0.12,0.48,0.7,0.08,-0.31,0.08,-0.46,-0.27,-0.17
"167",-0.25,0.17,0.5,0.11,-1.11,-0.41,-1.14,0,0.2,0.98,0.79,0.62,-0.06,-0.27,-0.57,0.01,-0.07,0.5
"168",0.11,0.21,0.74,0.5,-0.29,-0.47,-0.34,-0.29,-0.04,0.24,0.59,0.33,0.23,-0.31,-0.31,-0.45,-0.5,0.07
"169",-0.36,-0.67,-0.48,0.05,0.41,0.23,0.61,0.17,0.05,-0.21,-0.21,-0.17,0.18,0.04,0.31,0.14,0.17,-0.25
"170",0.43,0.06,0.4,0.64,0.69,0.47,0.4,-0.06,-0.28,-0.56,-0.47,-0.23,0.01,-0.18,-0.01,-0.33,-0.15,-0.84
"171",0.6,1.03,0.88,0.79,0.31,-0.1,0.06,-0.15,-0.36,-0.27,-0.33,-0.11,-0.25,-0.61,-0.39,-0.4,-0.35,-0.35
"172",-0.45,-0.37,0.4,0.16,0.31,0.14,0.34,-0.17,-0.29,-0.31,-0.12,0.14,0.12,0.16,-0.02,0.16,0.08,-0.31
"174",-1.1,-1.3,-0.18,-0.25,-0.16,-0.31,0.29,0.33,0.75,0.44,0.5,0.02,-0.06,-0.26,0.35,0.2,0.65,0.09
"175",0.4,0.32,0.34,0.23,0.18,0.19,0.18,-0.02,0.02,-0.02,-0.12,-0.05,0.2,-0.52,-0.03,-0.34,-0.47,-0.49
"176",-0.88,-0.12,1.08,0.76,-0.12,0.02,-1.03,-0.29,-0.11,0.02,1.03,0.97,0.05,-0.18,-0.33,0.08,-0.62,-0.33
"177",-1,-0.21,1.02,0.86,-0.47,0.1,-0.7,-0.38,-0.35,0.33,0.87,0.98,0.06,-0.08,-0.42,-0.12,-0.32,-0.15
"178",0,-0.05,0.03,-0.01,0.03,0.01,0.07,0,0.05,0,0.02,-0.01,0.05,-0.16,-0.02,0.01,-0.01,-0.02
"179",-2.29,-0.05,0.77,1.6,0.53,0.55,-0.38,-0.54,-1.08,-0.94,0.07,1.35,1.02,1,0.2,-0.04,-0.97,-0.87
"180",-1.33,-0.69,-0.48,0.15,0.2,0.63,0.39,0.44,0.09,0.05,0.06,0.09,0.12,0.17,-0.05,0.32,-0.08,-0.09
"182",0.52,-0.02,0.14,-0.11,0.07,-0.5,0.4,0.26,-0.13,-0.34,-0.16,-0.26,-0.13,0.06,0.26,-0.06,0.1,-0.11
"183",0.96,0.07,-0.03,-0.25,0.11,0.23,-0.23,0.11,-0.09,-0.72,-0.01,-0.09,0.01,-0.07,0.28,0.39,-0.14,-0.52
"184",-0.79,-1.01,-0.6,-0.25,0.27,0.75,0.53,0.47,0.17,-0.3,-0.34,-0.5,-0.01,0.09,0.64,0.38,0.49,0.02
"185",-0.38,1,-0.3,-0.16,-0.51,0.35,0.22,0.6,0.32,-0.04,-0.07,-0.23,-0.28,-0.4,-0.38,0,0.08,0.19
"186",-1.46,-0.76,1.08,1.5,0.74,0.47,-0.7,-0.68,-1.03,-0.55,0.35,1.24,0.73,0.2,0,0.11,-0.53,-0.72
"187",-0.36,0.69,0.22,-0.55,-1.01,0.58,0.66,0.74,0.27,-0.21,-0.08,-0.21,-0.49,-0.53,-0.1,0.53,-0.16,0
"188",-0.57,0.42,1.03,1.35,0.64,0.42,-0.4,-0.9,-0.73,-0.47,0.2,0.78,0.28,-0.05,-0.11,-0.13,-0.87,-0.9
"189",-1.21,-0.26,1.36,1.37,0.54,0.18,-0.85,-0.82,-0.75,0.07,0.89,0.78,0.37,-0.19,-0.11,-0.54,-0.34,-0.47
"191",0.92,0.19,-0.12,-1.24,-0.29,-0.74,-0.69,-1.08,-1.63,-1.08,0.31,1.59,1.36,0.92,0.71,0.58,0.53,-0.24
"192",-1.12,-0.85,-1.04,-0.44,-0.48,-0.11,-0.18,0.06,0.19,0.52,0.5,0.43,0.5,0.3,0.38,0.4,0.43,0.52
"193",0.02,-0.44,-0.01,0.41,0.25,0.05,0.12,-0.05,-0.18,-0.05,-0.01,0.26,0.18,-0.1,-0.22,-0.15,0.08,-0.15
"194",0.41,1.47,1.8,0.81,0.03,-0.31,-0.18,-0.45,-0.25,-0.31,-0.25,-0.35,-0.19,-0.48,-0.55,-0.48,-0.19,-0.52
"195",-0.19,-0.34,0.04,0.02,0,-0.15,0,-0.13,-0.23,-0.25,0,0.37,0.38,0.17,0.28,0.14,0.14,-0.23
"196",-0.64,0,0.48,0.4,0.21,0.3,-0.36,-0.05,0.03,-0.18,0.09,0.12,0.25,0.02,-0.28,0.06,-0.3,-0.14
"199",0.35,-0.27,0.18,-0.24,-0.11,0.08,0.02,0.12,0.17,-0.08,0.51,0.16,-0.22,-0.34,-0.11,-0.14,0.11,-0.2
"202",2.19,1.44,0.13,-0.63,0.03,-1.06,-0.93,-0.77,-0.13,0.26,0.37,0.07,0.03,-0.7,-0.47,-0.63,0.39,0.43
"203",-0.46,-0.92,-0.58,-0.19,0.22,0.1,0.69,0.2,0.34,-0.07,-0.05,-0.17,0.1,-0.14,0.3,0.31,0.27,0.05
"204",-0.16,0.28,0.24,0.31,-0.13,0.24,-0.34,-0.16,0.2,0.33,0.21,0.1,-0.06,-0.36,-0.5,-0.11,-0.09,0.02
"205",-0.28,0.19,0.41,0.56,0.24,0.14,-0.11,-0.11,-0.15,0.14,-0.16,0.25,0.08,-0.1,-0.11,-0.21,-0.7,-0.07
"206",-1.05,0,1.09,0.87,-0.27,0.02,-0.78,-0.39,-0.37,0.35,0.85,1.05,-0.22,-0.21,-0.42,-0.11,-0.39,-0.02
"207",-0.98,-0.05,0.99,0.8,-0.19,-0.12,-0.77,-0.33,-0.28,-0.2,0.95,0.88,0.22,-0.12,-0.28,0.02,-0.49,-0.12
"208",-0.59,-0.11,0.72,0.92,-0.21,-0.01,-0.64,-0.53,-0.22,0.28,0.55,0.87,0.06,-0.24,-0.31,-0.11,-0.43,0.01
"209",-0.41,-0.26,0.55,0.93,0.03,-0.37,-0.33,-0.6,-0.35,0.4,0.5,0.81,0.27,-0.28,-0.41,-0.16,-0.45,0.1
"211",0.05,0.95,0.62,0.22,-0.12,-0.12,-0.25,0,-0.55,0.03,-0.19,0.16,0.02,-0.27,-0.1,-0.27,0.01,-0.16
"212",-0.5,0.22,0.48,0.67,-0.04,-0.14,-0.31,-0.25,-0.1,-0.27,0.21,0.5,0.14,-0.06,0.02,-0.07,-0.27,-0.22
"213",-0.13,-0.03,0.34,-0.09,0.13,0.28,0.79,0.22,0.15,-0.19,-0.35,-0.08,-0.41,-0.47,-0.18,0.11,-0.01,-0.1
