"","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119"
"217",-0.26,-0.59,0.09,0.04,0.61,0.21,0.46,-0.17,0.05,-0.33,0.05,0.06,0.15,-0.07,0.3,0.02,0.02,-0.58
"219",3.49,2.57,1.71,0.46,-1.22,-0.9,-1.39,-1.15,-0.92,-0.36,0.05,-0.02,0.06,-0.49,-0.49,-0.66,-0.51,-0.24
"220",0.2,1.33,1.25,1.02,0.16,-0.07,-0.88,-0.59,-0.5,-0.57,0.1,0.04,0.01,-0.48,-0.15,-0.02,-0.36,-0.5
"222",1.03,0.85,0.63,-0.45,-0.86,-2.06,-1.39,-1.29,-0.76,0.17,1.18,1.12,1.12,0.92,0.65,-0.34,-0.27,-0.27
"225",0.04,0,0.19,0.12,-0.08,0.09,-0.05,0.16,0.02,-0.11,0,0.02,-0.13,-0.15,0,0.16,-0.24,-0.04
"227",-0.74,-0.13,-0.05,0.28,-0.03,0.02,0.16,0.14,-0.27,-0.35,0.37,-0.29,0.42,-0.27,1,0.2,-0.05,-0.4
"231",0.79,0.35,-0.36,-0.02,-0.58,0.12,-0.17,0.31,0.1,0.23,-0.04,0.01,-0.12,-0.14,-0.49,-0.17,0.04,0.13
"232",-0.11,0.13,0.41,0.6,0.23,0.31,0.19,0.16,-0.55,-0.34,0.05,0.23,0.25,0.08,-0.11,-0.23,-1.1,-0.19
"234",0.18,-0.04,0.14,0.21,0.15,0.06,-0.27,0.24,-0.04,-0.4,0.2,0.24,0.04,-0.23,-0.03,0.1,-0.18,-0.36
"236",-0.74,-0.26,-0.06,0.34,0.26,0.52,0.37,0.03,-0.15,0.01,-0.17,-0.09,0.26,0.03,0.12,-0.13,-0.15,-0.18
"237",-0.23,-0.18,0.12,0.02,-0.31,-0.09,-0.48,0.15,0.35,-0.07,0.9,0.28,-0.17,-0.2,-0.04,0.23,-0.35,0.07
"238",-0.44,-0.44,0.08,0.35,0.26,0.17,-0.46,-0.13,-0.05,-0.36,0.65,0.48,0.17,0.05,0.21,0.27,-0.61,-0.2
"239",0.11,-0.27,0.07,0.02,0.11,0.11,0.15,0.11,0.02,-0.16,-0.08,-0.11,-0.03,-0.25,0.11,-0.11,0.25,-0.06
"241",-0.23,-0.48,-0.46,-0.14,0.34,0.13,0.56,-0.01,0.06,-0.02,-0.48,-0.14,0.22,0.06,0.19,0.18,0.22,0.01
"243",-0.21,0.36,0.35,-0.03,0.02,0.09,0.04,-0.24,0.11,-0.19,-0.08,-0.23,0.16,-0.21,0.21,0.08,-0.14,-0.08
"244",-0.65,-0.81,0.24,0.26,0.11,-0.04,-0.01,-0.43,-0.4,-0.78,-0.23,0.45,0.76,0.69,0.59,0.65,-0.33,-0.09
"245",0.12,0.05,-0.68,-0.51,-0.59,0.35,0.01,0.14,0.81,0.22,-0.31,-0.2,-0.01,-0.01,-0.12,0.37,0.14,0.23
"246",-1.22,-0.05,0.06,0.01,-0.62,0.18,-1.05,-1.16,-0.84,0.16,0.88,1.59,0.94,0.59,0.23,0.34,-0.01,-0.1
"248",0.1,-0.05,-0.12,-0.45,-0.88,-0.57,-1.34,2.22,-1.09,-0.12,0.77,0.89,0.6,0.33,0.07,0.17,-0.21,-0.38
"249",-0.13,0.65,-0.56,-0.95,-0.02,0.45,1.03,-0.12,-0.12,-0.1,-0.04,-0.2,-0.33,-0.33,0.33,0.35,0.14,-0.05
"250",-0.32,1.04,0.29,-0.47,-0.34,-0.12,-0.12,-0.12,0.38,0.47,0.36,-0.09,-0.18,-0.53,-0.32,-0.03,-0.12,0.2
"251",-0.95,-0.31,0.09,0.12,-0.2,-0.4,-0.75,-0.37,-0.24,0.05,1.12,0.91,0.79,0.2,0.26,0.12,-0.31,-0.16
"252",0.17,0.02,-0.03,-0.67,-0.85,-0.55,-0.55,0.52,1.04,0.32,0.84,0.17,-0.25,-0.4,-0.12,0.15,0.18,-0.02
"253",-0.22,-0.05,-0.15,-0.11,0.38,0.12,0.36,-0.08,-0.05,-0.1,-0.37,0.12,0.2,-0.15,0.05,0.16,0.05,-0.2
"255",-1.79,-0.05,2.13,1.75,0.23,0.15,-0.66,-0.77,-0.73,-0.15,1.14,1.41,0.46,-0.21,-0.77,-0.56,-1.04,-0.58
"256",-0.58,-0.1,-0.45,-0.05,0.04,0.41,0.14,0.14,0.04,0.22,-0.29,-0.2,0.14,0.18,0.08,0.35,0.01,-0.08
"257",0.23,-0.4,0.28,-0.23,0.16,-0.25,0.21,-0.23,0.12,-0.08,0.22,-0.01,0.03,-0.05,0.3,-0.03,0.08,-0.34
"259",0.07,0.06,0.09,-0.06,0.35,-0.18,0.23,0.04,0.35,-0.13,-0.3,-0.18,-0.13,-0.17,0.45,-0.2,-0.27,-0.02
"260",0.51,-0.16,0.11,-0.32,-0.28,-0.45,0.12,-0.1,0.31,0.12,0.07,0.04,0.01,-0.32,-0.21,-0.01,0.34,0.22
"261",0.78,0.37,-0.09,0.07,0.03,0.25,0.02,0.34,0.25,-0.16,-0.14,-0.51,-0.21,-0.05,-0.14,-0.56,0.1,-0.35
"262",-0.46,-0.62,0.71,1.06,0.63,0.15,-0.04,-0.49,-0.57,-0.36,0.22,0.44,0.64,-0.19,-0.06,-0.53,-0.09,-0.4
"263",-0.53,-0.61,0.76,0.8,0.53,0.31,-0.05,-0.45,-0.51,-0.41,0.4,0.51,0.39,0.18,0.01,-0.34,-0.21,-0.75
"264",-0.33,-0.05,0.17,0.41,0.24,0.32,-0.13,0.03,0.09,0.06,-0.04,0.12,0.06,-0.06,-0.35,-0.09,-0.28,-0.21
"265",-0.58,-0.74,-0.35,-0.64,-0.38,-0.11,0.57,0.47,0.54,0.26,0.24,-0.11,0.04,-0.23,0.02,0.08,0.58,0.34
"266",-1.13,-0.05,-0.48,-0.57,-0.75,0.14,0.18,0.38,0.58,0.81,0.36,0.08,-0.08,-0.45,-0.08,0.32,0.46,0.23
"267",-0.28,-0.05,0.18,0.07,0.23,-0.06,-0.13,0.09,-0.12,-0.27,0.23,-0.36,0.31,-0.1,0.36,0.35,-0.37,-0.13
"268",-0.32,-0.65,0.87,1.1,1.17,0.44,0.37,-0.93,-1.45,-0.57,0.15,0.92,0.81,0.12,0.15,-0.39,-0.6,-1.2
"271",-0.11,-0.05,-0.18,-0.09,-0.05,0.01,-0.13,0.04,0.24,-0.09,0.26,0.14,0.13,-0.32,-0.11,0.09,-0.06,0.24
"272",0.53,0.18,-0.09,-0.41,-0.56,-0.67,-0.67,-0.63,-0.23,-0.48,0.44,0.35,0.62,0.53,0.65,0.6,-0.11,-0.06
"273",-0.38,0.16,0.28,0.19,0.16,-0.09,-0.05,-0.29,-0.45,-0.15,-0.01,0.58,0.35,0.04,-0.05,-0.13,0.04,-0.21
"274",0.21,-0.4,-0.14,-0.2,0.02,-0.17,0.36,0.24,0.17,-0.06,-0.06,-0.04,-0.07,-0.17,0.13,0.14,0.11,-0.07
"276",0.06,-0.23,-0.28,-0.38,0.08,-0.03,0.05,0,0.34,-0.14,0.48,-0.09,0.33,-0.16,0.2,0.09,-0.34,0.02
"277",0.1,0.06,-0.23,0.12,0.12,-0.01,-0.21,-0.01,0.27,-0.19,0.2,0.06,0.21,-0.04,-0.12,0.07,-0.25,-0.14
"278",0.2,-0.05,0.24,0.23,0.55,0.39,0.78,0.41,0.82,0.36,-0.1,-0.93,-0.7,-0.74,-0.31,-0.34,-0.51,-0.29
"279",0.08,-0.07,0.38,0.07,0.28,0.05,0.35,-0.05,0.31,-0.04,0.1,-0.22,-0.04,-0.45,-0.2,-0.39,0.08,-0.25
"280",-0.53,-0.23,0.98,1.06,0.14,-0.44,-0.44,-0.77,-0.18,0.02,0.53,0.72,0.2,-0.21,-0.14,-0.11,-0.42,-0.16
"281",-0.03,-0.23,0.25,-0.54,-0.39,-0.37,-0.33,-0.14,0.78,0.56,0.56,0.1,-0.11,-0.13,-0.39,0.11,0.04,0.28
"282",-0.31,-0.05,-0.15,-0.46,-0.03,-0.23,-0.37,0.25,0.17,0.04,0.02,0.08,-0.37,-0.1,-0.2,0.7,0.23,0.73
"284",-1.16,-0.15,1.02,0.77,-0.15,-0.07,-0.8,-0.62,-0.23,0.39,0.88,1.02,0.16,-0.13,-0.24,-0.08,-0.49,-0.11
"285",-0.46,-0.17,0.71,0.73,0.1,-0.22,-0.46,-0.62,-0.17,0.08,0.49,0.78,0.29,-0.09,-0.27,0.02,-0.68,-0.07
"287",0.34,-0.23,-0.03,-0.48,0.17,0.09,0.31,0.01,0.01,-0.21,-0.21,-0.25,-0.13,-0.07,0.06,0.22,-0.19,0.57
"291",1.46,0.17,-0.15,-0.18,-0.09,0.1,0.23,-0.09,0.07,-0.37,-0.29,-0.37,-0.08,-0.25,0,0.34,-0.37,-0.12
"292",-0.29,-0.27,0.03,0.13,0.34,0.27,0.48,0.19,-0.42,-0.35,-0.42,-0.07,0.3,-0.05,0.27,0.05,0.22,-0.42
"296",0.18,0.22,-0.17,-0.17,0.05,-0.07,-0.19,-0.08,-0.1,-0.41,0.59,0.14,0.44,0.18,0.11,-0.07,-0.43,-0.23
"297",0.18,-0.15,-0.24,-0.07,0.21,0.33,0.37,-0.13,-0.02,-0.26,-0.2,-0.09,0.12,-0.15,0.36,0.15,-0.22,-0.2
"298",0.09,-0.24,0.1,-0.01,0.1,-0.14,0.17,-0.15,-0.17,-0.22,-0.05,0,0.29,0.09,0.33,0.07,0.01,-0.28
"299",-0.07,-0.38,-0.12,-0.02,0.15,0.03,0.45,0.18,0.07,-0.2,-0.26,-0.24,0.01,-0.15,0.25,0.05,0.41,-0.16
"301",0.34,0.24,0.55,0.65,0.13,-0.04,0.07,-0.32,-0.38,-0.32,-0.13,0.18,0.21,-0.29,-0.19,-0.45,0.05,-0.23
"302",-0.21,0.24,-0.1,0.31,0.11,0.16,-0.04,-0.43,-0.17,0.21,0.14,0.05,0.45,0.05,-0.02,-0.1,-0.35,-0.3
"303",0.18,0.1,0.38,-0.15,-0.26,-0.4,-0.33,0,-0.2,0.18,0.84,0.33,0.27,-0.29,-0.15,-0.07,-0.42,0
"304",-0.83,0.35,-0.25,0.26,0.14,0.3,-0.35,-0.12,-0.17,0.29,0.14,0.34,0.31,-0.16,0.16,0.11,-0.27,-0.25
"305",-0.12,-0.65,-0.43,-0.43,0.24,0.09,0.54,0.23,0.27,0.07,-0.17,-0.14,-0.01,-0.16,-0.02,0.2,0.41,0.07
"306",-0.84,-0.78,1.16,-0.05,0.1,0.22,0.41,0.3,0.16,0.09,-0.09,-0.3,-0.21,-0.3,-0.04,-0.24,0.45,-0.04
"308",-0.58,-0.14,-1.04,-0.42,-0.18,0.63,0.5,0.38,0.36,0.21,0.02,-0.16,-0.16,0.07,0.14,0.21,0.04,0.12
"309",-0.85,-0.7,0.81,0.7,0.58,-0.05,-0.3,-0.47,-0.24,-0.24,0.88,0.6,0.33,-0.06,-0.01,0.08,-0.57,-0.49
"310",-0.26,-0.42,-0.04,-0.26,-0.15,-0.4,-0.11,0.21,0.64,0.19,0.77,-0.16,-0.02,-0.18,-0.09,0.21,-0.16,0.25
"311",0.52,-0.05,-0.36,-0.27,-0.52,-0.22,-0.13,0.27,0.69,0.29,0.09,-0.01,-0.06,-0.56,-0.39,-0.24,0.51,0.39
"314",-0.31,-0.19,0.64,0.32,0.19,-0.11,0.27,-0.23,-0.4,-0.04,0.16,0.22,-0.07,0.12,-0.1,-0.28,-0.24,0.06
"316",-1.34,-0.38,0.03,0.73,0.34,0.75,0.16,0.15,-0.22,-0.46,-0.49,0.19,0.11,0.32,0.14,0.22,-0.19,-0.03
"318",0.18,-0.36,-0.38,-0.12,0.03,-0.07,0.41,0.24,0.05,0.12,-0.18,-0.12,-0.09,-0.32,0.06,0.17,0.21,0.17
"319",0.37,-0.04,0.15,-0.2,-0.1,-0.25,0.31,-0.06,0.17,-0.06,-0.07,-0.03,-0.04,-0.16,0.19,0.06,-0.32,-0.06
"324",-0.26,-0.61,-0.37,-0.48,0,-0.29,0.59,-0.08,0.44,0.14,0.17,0.07,0.19,-0.15,0.27,-0.08,0.47,0
"326",-0.29,0.84,0.09,0.32,0.05,-0.08,-0.25,-0.29,-0.11,-0.17,0.34,0.17,0.2,-0.17,0.11,0.07,-0.51,-0.32
"329",-1.09,-0.05,0.82,1.05,0.9,0.01,-0.21,-0.55,-0.68,-0.84,0.4,0.9,0.75,0.18,0.23,-0.07,-1.12,-0.66
"331",0,-0.05,0.03,-0.01,0.03,0.01,0.07,0,0.05,0,0.02,-0.01,0.05,-0.16,-0.02,0.01,-0.01,-0.02
"332",0.13,-0.09,0.17,0.1,0.1,0.22,-0.03,0.14,0.14,-0.58,0.21,-0.18,0.03,-0.13,0.09,0.25,-0.28,-0.3
"333",-0.49,-0.1,-0.79,-0.12,-0.67,0.14,-0.04,0.24,0.23,0.28,0.1,0.04,0.06,0.04,0.26,0.25,0.36,0.23
"335",-0.23,-0.05,-0.66,-0.86,-0.44,-0.25,0.59,0.28,0.71,0.32,-0.14,-0.25,-0.03,-0.36,0.03,0.13,0.74,0.44
"336",0.54,-0.05,0.2,0.26,-0.25,0.16,-0.23,-0.23,-0.06,-0.08,0.06,-0.06,0.29,-0.19,-0.08,-0.1,-0.12,-0.1
"337",2.41,1.11,-0.04,-0.37,-0.39,-0.39,0.03,-0.18,-0.39,-0.71,-0.69,-0.49,-0.15,-0.15,0.31,-0.07,0.38,-0.23
"339",0.52,0.19,0.64,-0.13,0.19,-0.18,-0.06,-0.15,0.13,-0.17,0.64,-0.2,-0.06,-0.38,0.01,0.12,-0.64,-0.47
"340",0.4,-0.05,-0.09,-0.18,0.03,0.39,-0.4,0.17,0.26,0.21,-0.2,-0.02,0.02,-0.36,-0.66,-0.2,0.19,0.45
"343",-0.51,-0.73,-0.46,-0.67,0.57,0.76,0.57,0.18,0.27,-0.23,0.44,-0.89,-0.34,-0.04,0.7,0.26,0.35,-0.24
"344",-0.28,-0.28,0.1,0.34,0.42,0.34,0.13,-0.33,-0.24,-0.06,-0.3,-0.04,0.43,-0.2,0.13,-0.12,0.11,-0.14
"345",0.08,0.11,0.06,-0.01,0.21,-0.18,0.36,-0.04,0.04,-0.11,-0.28,-0.24,0.03,-0.13,0.04,0.01,0.09,-0.06
"347",-0.94,-0.54,0.03,1.23,0.75,0.32,-0.35,-0.69,-0.6,-0.54,0.04,1.2,0.78,0.13,0.17,-0.02,-0.11,-0.83
"348",-0.32,-0.05,0.65,1.27,0.47,0.24,-0.3,-0.52,-0.75,-0.57,-0.05,0.69,0.57,0.25,-0.02,-0.09,-0.78,-0.72
"349",-0.59,-0.22,-0.24,0.07,-0.08,0.67,0.13,0.13,-0.08,0.26,-0.54,0.09,-0.02,-0.13,0.22,0.3,0.09,-0.08
"352",0.32,0.13,0.4,-0.18,-0.05,-0.13,-0.13,0.02,0.01,0.08,-0.1,0.05,0.02,-0.15,-0.38,0.13,-0.17,0.13
"353",0.03,0.31,-0.14,-0.03,-0.35,0.33,-0.19,-0.07,0.1,0.29,-0.07,0.31,-0.05,-0.08,-0.69,0,0.1,0.2
"354",-0.34,-0.27,0.75,0.57,0.3,-0.38,-0.16,-0.54,-0.28,0,0.48,0.66,0.42,-0.27,-0.16,-0.3,-0.3,-0.18
"355",-0.51,-0.2,-0.48,-0.18,0.08,0.22,0.38,0.22,0.16,-0.2,-0.18,-0.2,0.06,0.08,0.39,0.55,-0.17,-0.02
"356",-0.28,1.07,0,-0.03,-0.43,0.63,0.41,0,-0.2,0.19,-0.49,0.19,-0.12,-0.43,-0.36,0.03,-0.17,-0.03
"357",0.23,0.28,0.41,0.35,0.15,-0.07,-0.02,-0.33,-0.11,-0.2,0.23,0.02,0.21,-0.35,0,-0.02,-0.35,-0.42
"358",-0.1,0.61,0.67,1.02,-0.01,0.21,-0.38,-0.24,-0.42,0.04,-0.34,0.07,-0.01,-0.1,-0.21,-0.22,-0.32,-0.3
"359",-0.76,-0.31,0.2,0.77,0.21,0.3,-0.28,0,-0.26,-0.31,0.32,0.31,0.19,0.1,-0.04,0.2,-0.31,-0.35
"360",-1.25,-0.33,0.11,0.71,0.18,0.42,-0.27,0.02,-0.43,0.22,0.05,0.54,0.22,0.11,-0.05,0.1,-0.18,-0.17
"361",0.36,0.26,-0.08,-0.12,-0.51,-0.43,-0.34,-0.12,0.35,0.41,0.24,0.03,0.22,-0.19,-0.1,-0.03,-0.14,0.19
"362",-0.86,-0.92,-0.62,-0.53,-0.14,0.01,0.73,0.79,1.17,0.13,0.21,-0.49,-0.65,-0.7,0.11,0.41,0.76,0.59
"363",-0.02,-0.05,0.54,0.28,0.04,0.05,0.5,0,0.52,-0.21,-0.44,-0.42,-0.09,-0.56,0.02,-0.31,0.21,-0.09
"368",-0.04,-0.2,-0.43,-0.76,-0.58,-0.2,-0.53,-0.83,-0.76,-0.04,0.5,1.34,1.21,0.47,0.71,0.42,-0.01,-0.29
"369",-0.68,-0.3,0.91,0.89,0.99,0.94,0.61,0.1,0.5,0.07,0.3,-0.57,-0.72,-0.7,-0.68,-0.79,-0.23,-0.63
"371",-1.17,-0.68,-0.68,0.03,0.33,0.5,0.13,0.1,-0.05,0.05,-0.21,0.32,0.15,0.08,0.38,0.68,0.01,0.03
"372",0.02,0.1,-0.17,-0.15,0.06,0.22,0.27,0.35,0.03,-0.06,-0.45,-0.27,-0.15,-0.22,-0.03,-0.01,0.46,0
"374",-0.43,-0.47,-0.18,0.26,0.41,0.32,0.6,0.03,0,-0.37,-0.35,-0.18,0.32,0.09,0.41,-0.06,0.03,-0.45
"375",-0.23,-0.2,-0.4,0.2,0.12,0.27,0.23,0.23,0.34,-0.16,0.01,-0.15,0.15,-0.2,-0.01,0.16,-0.18,-0.2
"376",-0.42,-0.05,-0.31,0.11,-0.03,0.36,0.18,0.01,0.11,0.24,-0.1,-0.24,0.03,-0.18,0.23,0.24,-0.1,-0.14
"377",-0.52,-0.05,-0.18,-0.08,-0.06,0.31,0.38,0.46,0.23,-0.16,-0.37,-0.41,0.04,-0.11,0.21,0.34,0.05,-0.13
"379",-1.92,-2.32,-0.87,-0.32,0.44,0.19,1.13,0.64,0.79,-0.01,-0.09,-0.25,0.44,0.23,0.72,0.37,0.88,-0.04
"380",0.69,0.72,0.88,0.32,-0.73,-1.55,-1.37,-1.25,0.03,0.76,1.48,1.09,0.73,-0.14,-0.33,-0.65,-0.79,0.11
"384",-1.53,-0.12,0.55,-0.01,-0.58,-0.22,0.16,-0.09,-0.16,1.02,0.88,0.46,0.1,-0.39,-0.37,-0.24,0.07,0.47
"386",-1.42,-1.01,0.25,-0.3,0.2,-0.48,0.26,-0.37,0.09,0.12,0.64,0.52,0.91,0.07,0.39,-0.23,0.33,0.03
"388",-0.5,-0.28,-0.2,-0.01,-0.08,-0.02,-0.63,-0.4,-0.42,-0.46,0.69,0.42,0.71,0.44,0.72,0.42,0.07,-0.46
"389",-0.51,-0.53,0.91,0.65,0.06,-0.36,-0.16,-0.77,-0.16,0.24,0.58,0.77,0.34,-0.36,-0.18,-0.18,-0.29,-0.03
"390",-0.17,-0.38,0.21,0.17,0.39,0.23,0.61,0.05,-0.12,-0.29,-0.24,-0.36,-0.09,-0.19,0.33,0.03,0.28,-0.46
"392",0.5,-0.23,0.36,-0.19,0.28,-0.06,0.15,-0.23,0.06,0.13,-0.17,-0.06,0.15,-0.27,-0.02,-0.06,-0.36,0
"393",-0.48,-0.2,0.22,0.54,0.13,0.38,-0.2,-0.09,-0.34,0.14,0,0.29,0.44,-0.09,0,0.03,-0.41,-0.37
"394",0.05,-0.3,0.01,-0.34,-0.19,0.23,0.78,0.66,0.71,-0.45,0.32,-0.55,-0.4,-0.58,0.13,0.46,-0.24,-0.31
"395",-0.28,-0.35,0.82,0.58,0.19,0.02,-0.51,-0.22,-0.4,-0.22,1.07,0.11,0.07,-0.16,0.1,0.13,-0.6,-0.53
"396",-0.19,-0.34,0.37,0.37,0.41,-0.12,0.08,-0.07,-0.07,-0.05,-0.02,0.15,0.3,-0.4,-0.07,-0.32,0.15,-0.19
"397",-0.44,-0.22,-0.18,0.2,0.42,0.39,0.44,-0.05,-0.18,-0.08,-0.08,-0.2,0.26,-0.22,0.17,-0.24,0.5,-0.49
"399",-0.74,-0.48,-1.1,-0.83,-0.51,0.09,0.63,0.62,0.75,0.49,0.02,-0.12,-0.61,-0.22,0.12,0.66,0.67,0.55
"401",-0.18,-0.36,-0.19,-0.18,-0.07,0.13,0.47,0.24,0.33,-0.24,0.31,-0.07,-0.23,-0.18,0.32,0.41,-0.36,-0.15
"402",-0.41,-0.23,0.23,0.08,0.39,0.3,0.52,0.1,0.34,0.07,0.23,-0.14,0.03,-0.8,-0.08,-0.39,0.1,-0.32
"403",0.42,0.61,0.24,0.4,0.04,0.38,-0.13,-0.45,-0.19,0.17,-0.17,-0.22,0.32,-0.16,-0.47,0.04,-0.38,-0.62
"404",0.16,0.53,0.03,0.3,0.23,-0.3,-0.32,-0.47,-0.07,-0.18,0.39,0.04,0.12,-0.23,0.06,0.11,-0.01,-0.37
"405",0.01,0.01,0.17,-0.14,-0.04,0.3,1.17,0.66,0.27,-0.36,0.19,-0.26,-0.09,-1.07,0.07,-0.58,0.07,-0.34
"406",-0.1,-1.06,-0.67,-0.82,0.03,-0.08,0.92,-0.01,0.54,-0.01,0.07,-0.33,0.23,-0.22,0.35,0.15,0.6,0.41
"408",-0.65,0.67,0.37,0.45,0.24,0.06,0.09,-0.08,-0.01,-0.27,-0.37,-0.39,-0.06,-0.23,0.22,0.3,-0.28,-0.06
"409",-0.33,-0.27,0.24,0.18,0.3,-0.12,-0.44,0.19,-0.39,-0.61,0.95,0.24,0.19,-0.2,0.28,0.36,-0.57,-0.02
"411",0.2,1.5,0.25,0.04,-0.2,-0.18,-0.31,-0.24,-0.4,-0.03,-0.18,0.04,0.09,-0.03,-0.09,-0.05,-0.33,-0.07
"412",-0.8,0.01,0.86,0.84,0.51,0.14,-0.4,-0.64,-0.8,0.41,0.88,0.75,0.46,-0.27,-0.1,-0.23,-0.42,-1.21
"414",0.01,-0.49,0.03,-0.31,0.77,0.54,0.44,-0.1,0.08,-0.04,0.07,-0.49,-0.25,0.04,0.07,-0.1,0.33,-0.62
"415",0.18,0.74,0.43,0.42,-0.29,0.24,0.06,0,-0.06,0.16,-0.22,-0.26,-0.26,-0.67,-0.09,-0.12,-0.02,-0.23
"416",-0.12,0.04,0.49,0.94,0.9,0.51,0.57,-0.29,-0.45,-0.77,-0.27,-0.21,0.4,-0.12,0.11,-0.54,-0.32,-0.88
