"","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119"
"612",-0.35,-0.72,0.4,0.34,0.67,0.23,0.46,0.04,-0.19,-0.31,-0.45,-0.07,-0.02,-0.07,0.43,-0.07,0.15,-0.45
"613",-0.27,-0.1,0.36,0.12,0.31,-0.19,0.14,-0.34,-0.14,-0.16,-0.01,0.01,0.31,-0.12,0.2,-0.16,0.28,-0.23
"614",-0.11,-0.17,0.02,-0.19,0.07,-0.1,0.26,-0.01,0.11,0.11,-0.11,-0.08,-0.04,-0.34,0.11,-0.04,0.56,-0.06
"615",-0.61,-0.28,-0.18,-0.07,-0.21,0.46,0.01,0.28,0.22,0.03,0.39,-0.2,-0.25,-0.43,0.26,0.17,0.16,0.26
"616",-0.18,0.75,0.09,-0.12,-0.1,-0.04,-0.43,-0.41,-0.14,0.14,0.07,0.31,0.22,0.91,-0.71,-0.2,-0.18,0.03
"617",-0.11,-0.2,-0.32,-0.26,0.28,0.3,0.09,0.19,0.25,-0.47,0.28,-0.41,-0.15,-0.01,0.6,0.38,-0.01,-0.43
"618",-0.44,-0.17,0.15,0.46,0.13,0.28,-0.03,-0.25,-0.05,-0.05,0.12,0.36,0.1,-0.01,-0.19,-0.29,0.09,-0.21
"619",2.04,0.88,-0.03,-0.6,-0.36,-0.68,-0.53,-1.26,-1.3,0.62,1.38,0.93,0.37,-0.4,-0.28,-0.46,-0.49,0.16
"621",1.17,0.89,1.09,1.16,0.53,0.53,0.71,-0.07,-0.08,-0.65,-0.5,-0.53,-0.43,-0.95,-0.53,-0.63,-0.75,-0.95
"622",-0.63,-0.37,-0.46,-0.35,0.32,0.04,0.36,0.04,-0.01,-0.02,-0.02,-0.2,0.01,-0.15,0.29,0.28,0.12,0.74
"623",-0.4,-0.05,-0.03,0.56,-0.01,0.17,-0.15,-0.08,-0.11,0.19,0.05,0.73,0.26,-0.38,-0.56,0.14,-0.35,-0.04
"624",-0.76,-0.05,0.18,0.57,0.29,0.26,0.03,-0.13,-0.11,0.04,-0.08,0.31,0.21,0.1,-0.15,-0.29,-0.3,-0.13
"625",-0.37,-0.41,0.8,0.91,0.25,-0.03,-0.2,-0.33,-0.52,0.01,0.08,0.64,0.22,-0.18,-0.43,-0.45,-0.37,0.35
"628",-0.31,-0.13,0.04,0.5,0.25,-0.13,-0.2,0,-0.47,0.26,0.26,0.43,0.35,0,-0.42,-0.11,-0.2,-0.11
"629",-0.03,0.73,-0.05,-1.78,0.03,0.43,0.75,0.14,0.15,0.21,-0.02,-0.23,-0.14,-0.11,-0.02,0.1,-0.08,-0.06
"631",0.04,0.62,0.44,0.13,0.18,-0.07,0.09,-0.33,0.1,-0.15,-0.04,-0.2,0.03,-0.4,0.1,-0.55,0.27,-0.24
"632",-1.24,-0.78,0.31,1.46,1.11,0.62,0.07,-0.23,-0.58,-1.01,-0.24,0.23,0.79,0.33,0.54,-0.09,-0.31,-1.01
"633",-0.47,-0.06,0.42,0.39,0.2,-0.04,0.01,-0.06,-0.06,0,0.11,0.31,0.01,0.05,0.07,-0.02,-0.58,-0.28
"634",-0.53,-0.04,0.6,0.51,0.2,-0.01,-0.01,-0.29,-0.37,0.04,0.18,0.31,0.2,-0.21,-0.17,-0.21,-0.21,-0.02
"637",-1.46,-0.05,-1.14,-0.01,-1.29,-1.66,-1.88,-1.46,-2.14,1.6,2.71,2.71,1.93,-0.16,0.82,0.71,-0.38,0.93
"638",-0.58,-0.42,-0.14,1.2,0.25,0.04,-0.2,0.01,-0.33,0.01,0.22,0.32,-0.12,-0.05,-0.12,0.28,-0.22,-0.14
"639",-0.74,-0.28,1.01,0.87,0.38,0.06,-0.52,-0.55,-0.34,0.04,0.88,0.5,0.35,-0.46,0.02,-0.34,-0.28,-0.59
"640",-1.16,-1.32,0.03,0.4,0.52,0.92,0.41,0.23,-0.11,-0.88,0.02,0.12,0.28,0.13,0.75,0.4,-0.11,-0.6
"641",4.44,3.07,1.8,-0.63,-0.71,-1.24,-0.82,-1.35,-1.26,-0.99,-0.48,-0.12,-0.25,-0.16,-0.53,-0.52,-0.38,-0.03
"643",0.39,0.4,-0.47,-0.04,-0.44,0.38,0.21,0.21,-0.05,-0.14,-0.24,0.06,0,-0.22,-0.38,-0.16,0.43,0.05
"644",-0.94,-1.06,-1.35,-1.71,-1.35,-1.35,-1.71,-1.2,-1.71,1.5,2.74,2.44,1.9,0.9,0.97,0.65,0.23,1.06
"646",-0.16,-0.37,0.98,0.32,0.01,-0.35,0.15,-0.53,-0.07,0.2,0.3,0.32,0.02,-0.2,-0.13,-0.4,-0.22,0.12
"647",-1.18,-0.05,-0.94,-0.61,0.12,0.9,0.75,0.38,0.04,-0.42,-0.52,-0.7,0.1,0,0.76,0.31,0.62,0.38
"648",1.23,-0.15,-0.1,-0.37,0.06,0.19,0.13,0.12,0.32,-0.17,-0.25,-0.58,-0.13,-0.16,-0.37,-0.27,0.33,-0.02
"649",1.65,0.64,1.06,0.07,0.29,0,-0.22,-0.24,-0.11,-0.23,-0.44,-0.08,-0.34,-0.31,-0.44,-0.68,-0.35,-0.29
"651",-0.51,0.16,-0.35,0.2,0.3,0.15,-0.01,-0.59,-0.35,0.28,0.46,0.55,0.55,0.11,0.02,-0.35,-0.46,-0.16
"652",-0.19,-0.32,-0.37,-0.31,-0.25,0.28,0.76,0.69,0.53,-0.29,-0.16,-0.82,-0.39,-0.31,0.34,0.21,0.59,-0.01
"653",-0.27,-0.5,0.09,0.33,0.26,0.48,0.19,-0.19,-0.25,-0.27,0.11,0.04,0.01,-0.29,0.01,-0.25,0.01,0.49
"654",-0.48,0.63,0.91,0.56,0.27,-0.13,0.05,-0.38,-0.32,-0.48,-0.09,-0.4,-0.12,-0.16,0.22,-0.23,0.11,0.04
"655",-0.27,-0.25,-0.11,-0.21,0.07,0.32,0.36,0.51,0.38,-0.25,-0.09,-0.41,-0.21,-0.15,0.1,0.19,0.04,-0.02
"656",-0.53,0.27,-0.69,-0.77,-0.72,0.03,0.24,0.53,0.61,0.24,0.21,0.4,-0.12,-0.36,-0.08,0.12,0.27,0.36
"657",-0.33,-0.11,0.06,0.12,0.37,0.15,0.51,0.1,0.12,-0.21,-0.51,-0.48,-0.04,-0.51,0.32,-0.08,0.41,0.12
"659",0.06,-0.15,0,0.19,-0.15,0.22,0.04,0.11,0.09,-0.3,-0.41,0.2,0.28,-0.16,-0.05,0.01,0.16,-0.28
"661",-0.24,-0.21,-0.15,-0.08,-0.03,0.01,0.54,-0.02,0.05,-0.28,-0.51,-0.21,0.06,-0.24,0.38,0.24,0.29,0.42
"662",-0.21,-0.34,-0.15,-0.25,-0.08,0.2,0.22,-0.1,0.08,0.04,-0.38,0.04,0.08,-0.34,0.14,0.11,0.26,0.68
"664",0.21,-0.05,0.06,-0.27,-0.14,-0.43,-0.04,0,0.45,0.7,0.12,0,-0.21,-0.41,-0.41,-0.37,0.19,0.6
"666",-0.46,-0.56,-0.53,-1.05,-0.63,-0.71,0.22,-0.01,0.75,0.83,0.88,0.59,0.18,-0.55,0.1,0.12,0.41,0.41
"667",0.44,0.2,0.26,-0.15,-0.14,-0.26,-0.04,-0.14,-0.1,0.15,0.09,-0.01,-0.14,-0.49,-0.03,-0.06,0.02,0.38
"671",0.09,-0.03,-0.11,-0.33,0.26,-0.2,0.09,-0.03,0.14,-0.02,0.04,0,-0.02,0,0.02,-0.02,0.16,-0.05
"672",1.35,-0.05,0.03,0.34,-0.3,0.27,0.25,-0.01,0.05,0.2,-0.5,0.02,-0.32,-0.32,-0.55,-0.42,-0.05,-0.02
"674",-0.01,0.18,0.39,-0.35,-0.61,-0.4,-0.92,-0.37,0.29,1.36,1.1,0.49,-0.13,-0.5,-0.58,-0.76,0.06,0.75
"675",-0.54,-0.36,-0.18,-0.01,0.17,0.5,0.41,0.31,-0.05,-0.5,-0.25,-0.09,0.06,-0.09,0.46,0.4,-0.06,-0.19
"676",-1.14,-0.31,0.57,1.08,1.17,0.57,0.31,-0.74,-0.68,-0.1,-0.38,0.75,0.73,0.09,-0.27,-0.22,-0.62,-0.8
"677",0.16,-0.1,0.32,0.43,0.35,0.32,0.13,0.12,-0.19,-0.46,0.13,-0.11,-0.22,-0.27,-0.03,0.03,-0.36,-0.23
"680",0.14,-0.16,-0.12,-0.12,-0.21,0.37,0.37,0.27,0.29,0.12,-0.51,-0.35,-0.02,-0.49,-0.05,0.14,0.34,0
"681",0.19,-0.31,0.32,-0.12,0.08,0.06,-0.02,0.3,0.38,-0.31,-0.45,-0.38,-0.15,-0.16,0.26,0.27,0.07,-0.17
"682",-0.4,-0.18,0.15,0.5,0.26,0.2,-0.01,-0.05,-0.46,-0.34,-0.27,0.11,0.13,-0.25,0.08,-0.15,0.2,0.5
"683",0.02,-0.15,0.18,0.31,0.48,-0.3,0,-0.05,-0.02,-0.15,-0.32,-0.07,0.17,-0.26,0.24,-0.23,-0.03,0.19
"684",0.4,0.33,0.22,0.11,-0.04,0.02,0.05,-0.43,-0.08,-0.14,-0.1,0.34,0.05,-0.22,-0.33,-0.18,-0.12,0.11
"685",0.19,0.29,0.07,0.48,-0.28,-0.4,-0.06,-0.15,0.22,0.16,0.33,0.12,0.05,-0.36,-0.13,-0.15,-0.18,-0.21
"686",0.33,-0.03,-0.3,-0.01,-0.15,0.02,0.18,0.34,0.38,-0.03,-0.28,-0.16,-0.09,-0.28,-0.01,0,-0.07,0.14
"687",-0.49,0.01,0.39,0.59,0.03,0.09,0.06,-0.42,-0.16,0.02,0.07,0.61,0.13,0.07,-0.4,-0.01,-0.24,-0.32
"689",-0.15,-0.51,-0.71,-0.74,-0.36,0.1,0.45,0.36,0.39,-0.07,-0.15,-0.3,-0.41,-0.21,0.41,0.87,0.45,0.58
"690",-0.18,0.36,0.17,0.64,0.36,0.45,-0.02,-0.07,-0.47,-0.1,-0.47,-0.07,0.21,0,-0.07,-0.38,-0.09,-0.29
"691",-0.04,-0.05,-0.38,-0.22,0.2,-0.1,0.43,0.25,-0.08,-0.24,-0.47,-0.06,0.04,-0.06,0.13,0.28,0.04,0.28
"693",0.49,0.05,-0.3,-0.73,-0.25,-0.04,-0.04,0.12,0.29,0.17,0.29,-0.21,-0.04,-0.3,-0.04,-0.14,0.27,0.43
"696",0.29,-0.2,0.03,0.21,0.19,-0.03,0.08,0.1,0.12,0.15,-0.44,0.1,0.24,-0.55,-0.67,0.3,0.06,0.01
"697",-1.73,-1.81,-0.29,0.29,1.05,0.56,0.88,-0.23,-0.07,-1.26,-0.51,-0.23,0.8,0.53,1.41,0.83,0.31,-0.54
"698",-1.11,-1.34,-0.55,0.32,0.72,0.47,0.9,-0.2,-0.22,-1.17,-0.62,-0.14,0.89,0.38,1.25,0.47,0.3,-0.34
"703",-0.66,0.03,-0.89,-0.49,-0.53,-0.31,-0.31,-0.7,-0.8,0.67,1.35,1.44,0.93,0.16,0.13,-0.03,-0.03,0.05
"704",0.24,-0.19,-0.42,-0.28,-0.11,-0.17,0.33,0.07,0.22,0.06,0.07,0.11,0.25,-0.37,0.16,0.14,-0.24,0.14
"705",0.5,1.23,0.41,-0.44,0.05,-0.44,-0.36,-0.21,0.23,0.05,0.67,-0.36,-0.33,-0.73,0.26,-0.23,-0.23,-0.08
"710",-0.25,-0.05,0.32,-0.01,-0.37,0.18,0.19,0.19,0.03,-0.11,-0.37,0.29,0.19,-0.34,-0.44,-0.2,0.26,0.42
"711",0.09,-0.21,-0.15,0.11,-0.02,-0.31,0.09,0.2,0.02,0.36,0.22,0.06,0.13,-0.1,-0.46,-0.19,0.04,0.13
"712",-0.96,0.18,-1.09,-0.52,-0.92,0.2,0.22,0.73,0.71,0.18,-0.22,-0.07,-0.07,-0.56,0.1,0.34,1.07,0.68
"713",0.01,0.2,0.55,0.76,0.1,-0.15,-0.11,-0.31,-0.31,-0.33,-0.13,0.19,0.2,-0.27,0,-0.09,-0.13,-0.19
"714",-0.39,-0.13,-0.02,0.25,0.03,0.27,0.34,0,0.14,0.3,-0.18,-0.02,0.09,-0.26,-0.01,-0.04,-0.18,-0.15
"715",-0.43,-0.35,0.12,0.8,0.52,0.35,0.34,-0.21,-0.35,-0.56,-0.16,0.22,0.41,0.02,0.1,-0.07,-0.17,-0.56
"717",-0.06,-0.05,-0.24,-0.01,0.18,-0.31,-0.02,0,0,-0.08,-0.02,0.09,0.05,0.04,-0.04,0.11,0.04,0.33
"721",-0.13,-0.33,-0.18,-0.04,-0.04,-0.08,0.13,-0.06,0.03,-0.15,0.23,-0.04,0.09,-0.3,0.32,-0.08,0.38,0.24
"722",-0.83,-0.46,-0.43,-0.01,0.2,0.2,0.4,0.25,-0.16,-0.14,-0.46,0.09,0.12,0.2,0.15,0.15,0.23,0.48
"723",-0.92,-1.39,-0.95,-1.67,-0.23,-1.56,0.51,-0.1,1.02,0.99,0.84,0.64,0.71,0.45,0.51,0.57,-0.71,1.28
"724",0.2,-0.05,0.5,-0.27,0.26,0.18,0.08,-0.1,-0.1,-0.1,-0.43,0.01,0.08,-0.29,-0.02,-0.1,0.1,-0.03
"725",-0.21,0.14,0.83,0.4,-0.15,-0.13,-0.23,-0.4,-0.19,0.28,0.34,0.76,0.27,-0.01,-0.86,-0.37,-0.35,-0.13
"726",0.23,-0.17,0.19,-0.07,0.11,0.1,0.17,0.32,-0.05,-0.18,-0.15,-0.22,-0.04,-0.13,-0.31,0.04,0.11,0.05
"727",-0.22,-0.2,0.03,-0.47,0.36,0.49,0.07,0.2,-0.06,-0.04,-0.4,-0.01,-0.22,-0.04,-0.3,-0.16,0.33,0.63
"728",-0.19,-0.65,-0.25,0.01,0.67,0.45,0.78,0.1,-0.19,-0.6,-0.71,-0.44,0.18,0.11,0.38,0.15,0.2,0.01
"729",-0.28,-0.52,-0.64,-0.67,-0.33,-0.31,0.45,0.33,0.72,0.54,0.17,0.1,-0.08,-0.36,-0.1,0.18,0.27,0.52
"730",0.03,0.49,0.24,-0.34,0.32,-0.15,0.08,0.01,0.1,-0.15,0.08,-0.63,-0.08,-0.16,0.1,-0.27,-0.23,0.4
"731",0.06,-0.54,0.71,0.58,0.54,0.82,0.03,-0.71,-1,-0.07,0.69,0.5,0.32,-0.06,0.09,-0.51,-0.67,-0.77
"732",0.52,0.15,0.33,-0.11,0.29,-0.44,0.11,-0.12,0.05,-0.14,-0.22,0.12,-0.12,-0.24,0.16,-0.2,-0.3,0.2
"733",-0.06,0.92,1.63,1.01,0.32,-0.15,-0.19,-0.01,0.16,0.29,0.62,0.04,-0.53,-1.15,-1.11,-0.89,-0.51,-0.4
"735",0.22,0.22,0.12,-0.01,0.12,-0.17,0.15,-0.13,0.09,-0.07,-0.07,-0.19,0.34,0.05,-0.07,-0.32,-0.24,-0.02
"736",-0.77,-0.84,-0.08,0.08,0.05,0.29,0.92,0.47,0.57,-0.06,0.1,0.13,0.11,-0.49,-0.22,-0.19,0.01,-0.06
"737",-0.47,-0.18,-0.21,-0.1,-0.14,0.24,0.53,0.6,-0.09,-0.1,-0.44,-0.4,0.1,0.05,0.55,0.55,-0.27,-0.21
"739",-1.99,-1.87,-0.32,0.57,0.92,0.99,0.86,0.32,-0.17,-0.63,-0.76,0.04,0.46,0.59,0.42,0.46,0.3,-0.19
"740",-0.48,-0.57,-0.51,-0.24,0.14,-0.1,0.58,0.06,0.07,0.04,-0.12,-0.08,0.14,0.02,0.27,0.02,0.14,0.6
"741",-0.04,-0.05,0.03,-0.42,0.04,0.17,0.3,0.11,0.12,-0.09,-0.48,-0.11,0.11,0.04,-0.11,0.14,0.14,0.08
"742",-0.87,-0.63,-1.31,-0.98,-0.75,-0.07,0.58,0.82,1.13,0.33,-0.04,-0.22,-0.48,-0.14,0.15,0.6,0.99,0.89
"743",-0.59,0.14,1.13,1.2,0.63,-0.04,-0.42,-0.61,-0.96,-0.4,0.36,0.72,0.3,-0.01,0.1,-0.54,-0.46,-0.57
"744",-0.74,-0.84,-0.56,-0.69,-0.22,0.41,0.54,0.6,0.4,0.37,-0.04,-0.29,-0.3,-0.15,0.16,0.23,0.48,0.64
"745",-1.16,-1.38,-1.65,-0.01,-0.55,-0.85,-0.91,-0.85,0.23,2.01,2.1,1.65,0.92,0.3,-0.55,-0.23,-0.2,1.15
"746",-2.42,-2.15,0.66,1.98,1.55,0.78,0.14,-0.94,-1.03,-1.5,-0.03,1.25,1.61,0.84,0.82,-0.09,-0.48,-0.97
"747",-0.09,-0.02,0.14,-0.32,0.05,-0.05,0.1,0.1,0.11,-0.09,0.17,-0.24,-0.02,-0.26,0.17,-0.12,0.16,0.2
"748",-0.25,-0.18,0.12,0.73,0.23,0.07,0.17,-0.46,-0.25,-0.31,0.03,0.49,0.37,0.03,-0.12,-0.01,-0.36,-0.29
"749",-0.41,-0.54,0.49,0.38,0.01,0.33,0.1,0.07,-0.07,-0.26,-0.01,-0.01,0.05,-0.22,0.18,0.01,-0.02,-0.09
"750",-0.35,-0.57,1.05,0.86,0.38,0.59,0.12,-0.58,-0.48,-0.38,0.33,0.54,0.26,-0.41,-0.12,-0.35,-0.41,-0.5
"751",0.22,-0.05,-0.11,0.04,0.04,-0.04,0.01,-0.03,-0.29,-0.04,0.13,0.5,0.19,-0.19,-0.13,-0.29,-0.03,-0.02
"752",-0.37,-0.79,0.48,0.44,0.34,0.39,0.06,0.02,0.01,-0.46,0.05,0.1,0.22,-0.18,0.13,-0.21,-0.24,0.01
"753",-0.94,-0.54,-0.78,-0.74,-1.13,-0.68,0.36,0.56,1.16,0.78,0.43,0.14,-0.19,-0.42,0.09,0.42,0.55,0.94
"754",-0.18,0.71,-0.08,0.03,0.44,0.08,0.75,-0.05,-0.08,-0.54,-0.46,-0.43,-0.29,-0.19,0.26,-0.27,0.22,0.05
"755",-0.69,-0.38,-0.01,-0.04,0.46,0.37,0.08,0.39,0.06,-0.32,-0.67,-0.14,-0.09,0.09,0.37,0.33,0.32,-0.14
"759",-1.12,0.21,1.03,0.52,0.42,-0.32,-0.02,0.27,0.33,0.03,0.03,-0.4,-0.34,-0.44,0.06,-0.25,0.2,-0.22
"761",-0.58,-0.05,-0.25,-0.35,0.1,0.09,0.36,0.07,-0.1,-0.58,-0.61,-0.04,0.3,0.17,0.3,0.17,0.32,0.64
"762",0.15,0.2,0.68,-0.14,-0.11,0.2,0.98,0,0.06,-0.29,-0.17,-0.3,-0.43,-0.6,-0.27,0.12,-0.01,-0.07
"763",-0.35,-0.45,0.93,0.61,0.06,-0.24,-0.22,-0.62,-0.2,0.02,0.69,0.75,0.23,-0.3,-0.08,-0.25,-0.25,-0.3
"764",0.2,-0.14,-0.16,-0.12,0.03,-0.1,0.2,-0.08,0.07,-0.04,-0.28,-0.12,-0.08,-0.02,0.03,-0.26,0.1,0.76
"765",0.3,-0.18,-0.02,-0.2,0.14,0.23,0.08,-0.07,-0.07,-0.04,-0.39,-0.05,0.1,-0.07,-0.07,0.1,-0.2,0.4
"766",-0.36,-0.05,0.6,0.63,0.28,-0.05,-0.04,-0.42,-0.2,-0.18,0.15,0.3,0.21,-0.36,-0.07,-0.04,-0.38,-0.09
"767",-0.31,1.32,0.18,0.01,-0.82,-1.01,-0.53,-0.5,0.35,0.7,0.56,0.66,0.07,-0.47,-0.65,-0.04,0.01,0.5
"768",-0.12,-0.77,-0.25,-0.54,0.35,0.37,0.54,0,0.05,-0.23,-0.18,-0.05,0.01,-0.06,0.32,0.17,0.34,0.06
"769",-0.08,0.43,0,0,-0.32,0.07,0.2,-0.08,0.18,0.24,-0.37,-0.06,-0.04,-0.12,-0.25,-0.04,0.05,0.21
"770",-0.01,0.13,0.09,0.64,0.06,0.34,0.35,-0.1,-0.17,-0.33,-0.35,0.01,0.18,0.15,0.02,-0.12,-0.63,-0.26
"771",-0.02,-0.11,0.16,0.51,0.22,0.39,0.22,-0.14,-0.2,-0.44,-0.09,-0.07,0.11,-0.18,0.22,-0.08,-0.07,-0.42
"772",-0.45,-0.05,-0.65,-0.38,0.12,0.58,0.2,-0.16,-0.45,-0.76,-0.33,0.26,0.58,0.3,0.66,0.07,0.51,-0.11
"773",-0.02,0.12,-0.04,-0.26,0.04,0.22,0.28,-0.02,-0.19,-0.44,-0.44,-0.13,0.14,-0.13,0.22,-0.15,0.39,0.41
"775",-2.36,-0.05,-1.96,-2.29,-1.36,0.4,1.09,1.54,1.5,0.92,0.05,-0.23,-0.42,-0.29,0.12,0.73,1.35,1.2
"776",-0.98,-0.38,0.92,0.97,0.26,-0.09,-0.18,-0.4,-0.35,-0.33,0.7,0.61,0.31,-0.23,0.1,-0.2,-0.21,-0.5
"777",-0.3,-0.42,0.16,-0.07,0.15,0.44,0.3,0.3,0.24,-0.14,0.04,-0.31,-0.2,-0.4,0.13,-0.11,0.23,-0.04
"778",-0.39,-0.6,0.8,1.28,0.67,0.04,-0.29,-0.62,-0.6,-0.67,0.29,0.73,0.6,-0.12,-0.01,-0.29,-0.25,-0.55
"779",-0.26,-0.69,0.01,0.01,0.1,0.48,-0.01,0.11,-0.07,-0.19,0.13,-0.09,0.08,-0.15,0.31,-0.09,0.46,-0.11
"781",-1.98,-0.61,-0.08,-0.93,-0.61,-0.88,0.66,0.52,1.44,0.85,0.63,-0.39,-0.14,-0.7,0.24,-0.06,1.15,0.89
"783",0.09,-0.68,-0.71,-1.86,-1.07,-0.71,0.55,0.57,1.51,0.89,0.49,-0.09,-0.34,-0.83,0.04,0.12,1.29,0.76
"784",0.6,0.34,-0.05,-0.46,0.1,-0.34,-0.09,0,0.44,0.24,0.02,-0.07,-0.44,-0.38,-0.01,-0.38,0.21,0.28
"785",0.17,0.16,0.17,0.38,0.47,-0.07,0.04,0,-0.3,-0.31,-0.1,-0.22,-0.03,-0.27,0.2,0,-0.23,-0.06
"786",0,1.22,1.81,1.38,0.68,-0.13,-0.23,-0.41,-0.44,-0.5,-0.41,-0.48,-0.28,-0.5,0.06,-0.42,-0.74,-0.58
"787",0.07,0.38,0,-0.08,0.03,0.1,0.26,0.09,0.27,0,0.03,-0.1,-0.26,-0.48,-0.02,-0.08,0.02,-0.21
"788",-0.24,-0.4,0.97,0.62,0.6,-0.11,-0.04,-0.7,-0.4,-0.24,0.25,0.3,0.46,-0.13,-0.06,-0.31,-0.33,-0.24
"789",-0.41,-0.57,1.15,0.69,0.61,0,-0.22,-0.5,-0.43,-0.33,0.22,0.64,0.42,-0.09,-0.03,-0.5,-0.08,-0.57
"790",-0.79,-0.25,1.18,0.84,0.19,-0.11,-0.42,-0.56,-0.36,-0.12,0.68,0.8,0.08,-0.24,-0.14,-0.27,-0.32,-0.19
"791",-0.68,-0.19,1.23,0.84,0.14,-0.44,-0.44,-0.75,-0.26,-0.06,0.63,0.98,0.07,-0.24,-0.35,-0.22,-0.33,0.08
"792",-0.37,-0.48,0.97,0.52,0.18,-0.11,-0.2,-0.53,-0.24,-0.04,0.4,0.62,0.27,-0.31,-0.11,-0.2,-0.09,-0.27
